Image Number,Single Core,Multiple Core,Multiple Threads (100),Multiple Threads (500)
1,0.16798,0.10107,0.09719,0.22452
2,0.32265,0.19383,0.12229,0.25815
3,0.46663,0.31848,0.13236,0.26322
4,0.58964,0.47482,0.13739,0.3353
5,0.76592,0.65649,0.13739,0.33796
6,0.83423,0.76382,0.15749,0.37927
7,0.93199,0.95013,0.16249,0.3984
8,0.93985,0.95368,0.16249,0.41842
9,0.96273,0.98859,0.16249,0.48041
10,0.96521,0.99061,0.17253,0.48948
11,0.98616,1.01883,0.2034,0.50786
12,1.00705,1.04098,0.20761,0.51796
13,1.02767,1.08378,0.20861,0.6618
14,1.03655,1.11404,0.22734,0.66821
15,1.07221,1.13865,0.22734,0.72231
16,1.09448,1.16884,0.23542,0.7233
17,1.11301,1.19401,0.2486,0.7233
18,1.16272,1.22423,0.26073,0.73034
19,1.20968,1.2847,0.26172,0.73236
20,1.25134,1.31508,0.27741,0.74243
21,1.29245,1.35555,0.31225,0.75046
22,1.33339,1.38882,0.34214,0.77056
23,1.37652,1.41898,0.34724,0.77258
24,1.458,1.52874,0.34724,0.77258
25,1.53636,1.65397,0.35225,0.89388
26,1.61803,1.78073,0.35225,0.89388
27,1.62203,1.78374,0.37244,0.89388
28,1.64416,1.81908,0.37497,0.90095
29,1.64728,1.8211,0.37756,0.91281
30,1.67604,1.83925,0.38713,0.91281
31,1.70923,1.86391,0.39214,0.91281
32,1.74823,1.89183,0.3972,0.92298
33,1.78948,1.91856,0.40726,0.95426
34,1.82887,1.944,0.40726,0.95426
35,1.86686,1.97791,0.41226,0.96332
36,1.91151,2.01082,0.41735,0.99292
37,1.95019,2.03974,0.43752,1.02594
38,1.98994,2.06966,0.44253,1.02694
39,2.02617,2.09859,0.4476,1.05598
40,2.07595,2.12602,0.45211,1.05895
41,2.11704,2.15295,0.45211,1.07604
42,2.15226,0.04046,0.46778,1.08466
43,2.23734,0.12827,0.48808,1.08849
44,2.24113,0.13131,0.49816,1.08948
45,2.26851,0.15142,0.51225,1.0908
46,2.27374,0.15346,0.52233,1.09179
47,2.3233,0.17156,0.52857,1.09483
48,2.37903,0.19829,0.53968,1.10521
49,2.43303,0.22833,0.54219,1.10819
50,2.48105,0.26449,0.54219,1.10819
51,2.51728,0.29481,0.54878,1.13745
52,2.55892,0.32865,0.55991,1.13745
53,2.62083,0.35843,0.56452,1.29918
54,2.68302,0.38591,0.56452,1.55079
55,2.76578,0.41872,0.56911,1.55287
56,2.82617,0.44852,0.57211,1.55287
57,2.90675,0.48483,0.57717,1.55287
58,2.9733,0.50852,0.60236,1.56192
59,3.04594,0.53881,0.61243,1.58536
60,3.11892,0.62819,0.62957,1.83595
61,3.12291,0.63379,0.6623,1.83595
62,3.14199,0.64878,0.67244,1.83595
63,3.14498,0.65386,0.71032,1.84527
64,3.20434,0.77391,0.71283,1.84727
65,3.26518,0.94368,0.71773,1.84727
66,3.32717,1.10332,0.73043,1.86189
67,3.38957,1.2443,0.73849,1.86643
68,3.43816,1.37826,0.74251,1.86643
69,3.52147,1.55343,0.75171,1.86643
70,3.64221,1.66922,0.75271,1.87848
71,3.64522,1.66922,0.75271,1.87848
72,3.67227,1.69953,0.75271,1.88652
73,3.68175,1.70357,0.75753,1.88652
74,3.72503,1.72041,0.7606,1.88652
75,3.77151,1.74334,0.76764,1.88652
76,3.81297,1.7685,0.77271,1.89348
77,3.86282,1.79331,0.77884,1.89448
78,3.91095,1.81347,0.79097,1.89547
79,3.95819,1.84929,0.79247,1.89647
80,4.01804,1.87727,0.79247,1.89647
81,4.06787,1.90371,0.79247,1.89871
82,4.12579,1.93861,0.80107,1.9055
83,4.19402,0.03834,0.82275,1.90756
84,4.25595,0.07619,0.83285,1.90756
85,4.30982,0.10097,0.86972,1.90756
86,4.36684,0.12913,0.87288,1.92668
87,4.5328,0.22199,0.89278,1.93136
88,4.69828,0.3615,0.90186,1.93236
89,4.75647,0.47616,0.90293,1.93236
90,4.76699,0.47616,1.02322,1.93236
91,4.78416,0.51298,1.02774,1.93487
92,4.78715,0.51298,1.09816,1.93692
93,4.81107,0.53324,1.10774,1.93692
94,4.83997,0.57362,1.13523,1.94418
95,4.89452,0.59583,1.13776,1.94817
96,4.95869,0.62143,1.14789,1.94817
97,5.02131,0.64674,1.14789,1.9552
98,5.08389,0.67694,1.17409,1.9572
99,5.14803,0.71121,1.17776,1.9582
100,5.21301,0.7456,1.21405,2.15229
101,5.2948,0.78612,1.21405,2.15328
102,5.36575,0.82114,1.21833,2.15328
103,5.44096,0.86908,1.22284,2.15328
104,5.50596,0.91129,1.22745,2.15733
105,5.57476,0.94103,1.23757,2.1583
106,5.76787,1.0463,1.24258,2.15972
107,5.77516,1.0463,1.24663,2.15972
108,5.82247,1.06897,1.24766,2.20129
109,5.82898,1.07099,1.24766,2.20129
110,5.88287,1.08909,1.25469,2.20129
111,5.94595,1.11122,1.25774,2.20129
112,6.00802,1.13635,1.26477,2.20846
113,6.08501,1.16153,1.27234,2.21145
114,6.12537,1.18619,1.27487,2.21145
115,6.1632,1.21193,1.30426,2.21145
116,6.22897,1.2412,1.32554,2.21145
117,6.28331,1.26597,1.32757,2.21145
118,6.33157,1.29636,1.34297,2.23138
119,6.37595,1.32613,1.34857,2.24164
120,6.41806,1.35596,1.35263,2.24468
121,6.46958,1.386,1.49807,2.25073
122,6.51177,1.4145,1.5017,2.25298
123,6.61431,1.51553,1.50773,2.25298
124,6.61791,0.0151,1.51291,2.274
125,6.64646,0.03026,1.54271,2.28117
126,6.6495,0.03026,1.54271,2.53559
127,6.68739,0.05499,1.63356,2.54262
128,6.731,0.0777,1.63356,2.54464
129,6.77158,0.10495,1.63863,2.55374
130,6.8276,0.13014,1.64266,2.55573
131,6.88718,0.16488,1.64872,2.56479
132,6.95234,0.19061,1.68343,2.57593
133,7.01843,0.22497,1.68681,2.585
134,7.07504,0.26132,1.68774,2.585
135,7.14419,0.29167,1.68972,2.585
136,7.20056,0.32205,1.69164,3.25048
137,7.25506,0.35533,1.69268,3.25249
138,7.30297,0.39088,1.69368,3.26259
139,7.35405,0.43024,1.69467,3.26359
140,7.39499,0.45041,1.69679,3.26359
141,7.43172,0.47513,1.69863,3.26359
142,7.46332,0.50187,1.70062,3.26359
143,7.50129,0.5251,1.70344,3.27062
144,7.53711,0.56043,1.70811,4.70773
145,7.57695,0.58469,1.71157,4.70975
146,7.60688,0.61536,1.71257,4.71982
147,7.64004,0.65024,1.71257,4.71982
148,7.6876,0.69608,1.71257,4.71982
149,7.72637,0.73044,1.73194,4.71982
150,7.7738,0.80043,1.73294,4.72786
151,7.81641,0.83022,1.73294,4.72992
152,7.85892,0.87617,1.74001,4.72992
153,7.93448,0.95011,1.74758,4.73801
154,8.01027,1.06997,1.74919,4.74003
155,8.06124,1.1283,1.75317,4.74003
156,8.13013,1.21491,1.76358,4.74003
157,8.18711,1.28172,1.77291,4.74806
158,8.26777,1.3504,1.77794,5.20567
159,8.38348,1.46198,1.77794,5.20567
160,8.47231,1.53466,1.78795,5.21457
161,8.58871,1.64032,1.79098,5.22264
162,8.71143,1.78561,1.793,5.22563
163,8.79331,1.84028,1.80296,5.23266
164,8.88925,1.92926,1.80794,5.23468
165,8.92645,0.04946,1.81096,5.23468
166,8.94674,0.06762,1.82328,5.23468
167,9.05447,0.16037,1.82328,5.24474
168,9.20552,0.28508,1.96754,5.24574
169,9.38911,0.41111,1.96854,5.24574
170,9.51565,0.50187,1.96854,5.25499
171,9.97229,0.91027,1.9736,5.26295
172,10.01108,0.94707,1.9736,5.26496
173,10.05634,0.99995,1.97773,5.28409
174,10.09961,1.05033,1.97773,5.28609
175,10.1565,1.09009,1.98781,5.28609
176,10.20776,1.1283,1.99751,5.29517
177,10.25673,1.16501,2.00119,5.29517
178,10.30695,1.20083,2.00368,5.29517
179,10.3559,1.23106,2.00779,5.3032
180,10.4052,1.26949,2.0128,5.3032
181,10.45502,1.30191,2.02927,5.30522
182,10.50306,1.35494,2.03027,5.30522
183,10.55031,1.39109,2.03779,5.31437
184,11.09502,1.84746,2.04594,5.31636
185,11.14071,1.88438,2.04846,5.31877
186,11.3389,2.08934,2.06618,5.31877
187,11.40095,2.16214,2.0727,5.31877
188,11.43634,2.18907,2.07779,5.3239
189,11.46671,2.215,2.09241,5.32542
190,11.5158,2.2519,2.09241,5.327
191,11.56945,2.28732,2.09546,5.33125
192,11.81677,2.4913,2.1057,5.33707
193,11.865,2.53317,2.10669,5.36206
194,11.92394,2.56908,2.11072,5.36644
195,11.96174,2.59601,2.11617,5.38669
196,11.98322,2.60398,2.1177,5.39372
197,12.11699,2.68676,2.1177,5.80086
198,12.12917,2.69525,2.12781,5.80086
199,12.19142,2.72767,2.13795,5.80086
200,12.29597,2.82242,2.14783,5.81274
201,12.39511,2.91486,2.15581,5.83128
202,12.42661,2.93515,2.15783,5.84135
203,12.4458,2.95047,2.16284,5.84135
204,12.48274,2.9807,2.16284,5.85947
205,12.51043,3.01493,2.16796,5.86196
206,12.54554,0.04999,2.17203,5.86196
207,12.57676,0.08025,2.18566,5.86949
208,12.60093,0.11801,2.18887,6.36016
209,12.65045,0.15028,2.18987,6.37683
210,12.68362,0.17496,2.19281,6.38978
211,12.72234,0.221,2.19414,7.12351
212,12.76607,0.25124,2.20295,7.19623
213,13.38237,0.90017,2.20757,7.2865
214,13.42284,0.92991,2.20948,7.40999
215,13.45286,0.95009,2.21621,7.40999
216,13.49814,0.9994,2.21773,7.42007
217,13.52521,1.02005,2.22511,7.46832
218,13.57127,1.0503,2.23138,7.47034
219,13.61412,1.1001,2.24806,7.47034
220,13.64004,1.13832,2.25612,7.48141
221,13.68587,1.16049,2.26267,7.51067
222,13.72056,1.18517,2.2782,7.52172
223,13.75502,1.21089,2.48813,7.59506
224,13.78825,1.24128,2.49266,7.59805
225,13.82627,1.27163,2.49266,7.60515
226,13.86052,1.29984,2.50282,7.62011
227,13.90463,1.34031,2.5117,7.64005
228,13.93491,1.36531,2.5127,7.65325
229,13.95576,1.39511,2.52279,9.02765
230,13.97786,1.415,2.54258,9.52143
231,14.00402,1.44377,2.56276,10.2397
232,14.02964,1.46197,2.57284,10.29658
233,14.08033,0.05244,2.58295,10.29758
234,14.38265,0.33336,2.58812,10.31453
235,14.44338,0.41253,2.58965,10.31653
236,14.48602,0.45291,2.59268,10.3265
237,14.55306,0.50497,2.59268,10.33149
238,14.65568,0.58817,2.59776,10.33248
239,14.73121,0.65675,2.61188,10.33348
240,14.80536,0.7195,2.61243,10.34844
241,14.92371,0.80043,2.61443,10.3654
242,15.13011,0.95745,2.61443,10.36739
243,15.20345,1.04257,2.79401,10.37238
244,15.28543,1.11304,2.79753,10.37637
245,15.35335,1.17369,2.79753,10.40629
246,15.50014,1.29521,2.80206,10.41127
247,15.55868,1.35241,2.80411,10.42224
248,15.63268,1.39739,2.80764,11.48651
249,15.67276,1.42669,2.82442,11.51444
250,15.69789,1.44688,2.82442,12.56364
251,15.76374,1.48723,2.82442,12.56564
252,15.80662,1.52252,2.83249,13.87746
253,15.8849,1.5581,2.83451,13.94153
254,15.92524,1.58633,2.83755,13.94452
255,16.02053,1.63929,2.84508,13.94788
256,16.09265,1.6897,2.84763,13.95581
257,16.10118,1.69278,2.85467,13.9568
258,16.15152,1.73258,2.85769,13.96179
259,16.21409,1.77265,2.86274,13.96478
260,16.22148,0.0505,2.86783,13.97374
261,16.24716,0.06759,2.86783,13.98591
262,16.28146,0.10286,2.87589,13.99938
263,16.38484,0.20385,2.89276,14.00137
264,16.4609,0.2579,2.8933,14.0201
265,17.04608,0.753,2.91223,14.025
266,17.70938,1.2979,2.91383,14.02771
267,17.99054,1.61863,2.91885,14.02874
268,18.05367,1.69274,2.92097,14.0306
269,18.13124,1.7827,2.92197,14.03158
270,18.18158,1.86088,2.92757,14.03357
271,18.3109,2.00849,2.92757,14.6104
272,18.43286,2.08978,2.92757,14.61339
273,18.54888,2.14763,2.93571,14.65395
274,18.70582,2.24986,2.93773,14.65695
275,18.84015,2.32267,2.93773,14.66393
276,18.9961,2.45383,2.9626,14.66843
277,19.17483,2.55755,2.96615,14.67431
278,19.29249,2.61839,2.97473,14.67832
279,19.40101,2.69121,2.97524,14.6863
280,19.45167,2.72014,2.97779,14.69627
281,19.48648,2.74607,2.9828,14.70325
282,19.60137,2.82386,2.9828,14.70525
283,19.73569,2.93274,2.98736,14.71223
284,19.88177,3.0442,2.99744,14.71923
285,20.00524,3.13758,2.99744,14.72521
286,20.46704,3.4926,3.01507,14.72779
287,20.50681,3.5229,3.02771,14.73078
288,20.55431,3.55268,3.03103,14.73377
289,20.61102,3.58796,3.03217,14.73548
290,20.66072,3.6383,3.03217,14.75194
291,20.712,3.68272,3.03521,14.75831
292,20.75166,3.72259,3.03775,14.76826
293,20.81059,3.75753,3.04275,14.77125
294,20.86034,3.79281,3.04731,14.77868
295,20.90187,3.84024,3.05231,14.78033
296,20.95568,3.89509,3.06237,14.79455
297,21.00329,3.9261,3.0654,14.79555
298,21.04869,3.96121,3.0886,14.79754
299,21.48547,4.38345,3.09217,14.80053
300,21.51304,4.42143,3.10119,14.80352
301,21.68308,1.60549,3.43764,14.81055
302,21.72974,1.64588,3.44894,14.81883
303,21.76066,1.66611,3.45098,14.82048
304,21.79105,1.6911,3.45308,14.82148
305,21.82537,1.72001,3.47106,15.04877
306,21.86978,1.75031,3.47309,15.05278
307,22.15358,1.90919,3.50212,15.37189
308,22.18986,1.9421,3.51762,15.38087
309,22.22055,1.97102,3.52425,15.38286
310,22.25769,1.99895,3.52778,15.38585
311,22.2675,2.00693,3.53334,16.29817
312,22.35546,2.08722,3.53793,16.32615
313,22.36879,2.09919,3.53793,16.3444
314,22.41939,2.13111,3.54756,16.3474
315,22.54047,2.19892,3.55158,16.35051
316,22.64708,2.26575,3.55362,16.35238
317,22.6872,2.28321,3.56375,16.35483
318,22.70419,2.29717,3.56375,16.35483
319,22.74464,2.3231,3.56777,16.35939
320,22.78122,2.34205,3.582,16.36138
321,22.8224,2.36699,3.5947,16.36437
322,22.85179,2.38893,3.60208,16.52986
323,22.87436,2.40688,3.60419,16.52786
324,22.91294,2.4378,3.60659,16.66164
325,22.94456,2.46273,3.735,16.66317
326,22.97807,2.50413,3.735,16.66472
327,23.00918,2.53106,3.73943,16.66567
328,23.69062,3.07496,3.73943,16.66772
329,23.72442,3.13511,3.74752,16.66967
330,23.7459,3.16031,3.75253,16.67139
331,23.77636,3.20273,3.75306,16.67588
332,23.79152,3.22487,3.75765,16.68087
333,23.8194,3.26114,3.75765,16.68505
334,23.84716,3.29143,3.75765,16.68563
335,23.87493,3.31529,3.76536,16.69925
336,23.90244,3.34507,3.76536,16.75145
337,23.92741,3.37024,3.77745,16.75372
338,23.96515,3.3945,4.12556,16.89604
339,24.00164,3.43531,4.13163,16.89758
340,24.03939,3.46362,4.13301,16.93533
341,24.07688,3.50004,4.13401,17.04126
342,24.14644,1.54581,4.13769,17.04723
343,24.26522,1.566,4.13983,17.04923
344,24.32009,1.59428,4.14187,17.05527
345,24.34884,1.61661,4.14187,17.09823
346,24.37383,1.63481,4.1479,17.10404
347,24.39472,1.64693,4.15197,17.62081
348,24.4215,1.68127,4.15804,17.63763
349,24.67213,1.98115,4.1621,17.66607
350,24.71092,2.07242,4.1621,17.77884
351,24.7563,2.13325,4.1621,17.79023
352,24.8044,2.18113,4.1702,17.79622
353,24.91068,2.25991,4.17223,17.79821
354,25.02265,2.31727,4.17223,17.91541
355,25.09953,1.82972,4.17779,17.9184
356,25.153,1.89654,4.18032,17.93935
357,25.39333,2.04765,4.18234,17.94162
358,25.5251,2.10449,4.18787,17.94562
359,25.66818,2.16433,4.19039,17.95717
360,25.80583,2.21121,4.19245,17.97168
361,25.98057,2.32242,4.19245,17.97467
362,26.02823,2.38027,4.19789,17.98771
363,26.08285,2.43463,4.20072,17.9907
364,26.10978,2.46256,4.2018,17.99378
365,26.12574,2.47853,4.20379,17.99777
366,26.16913,2.5234,4.20783,18.22015
367,26.1971,2.55431,4.21089,18.25028
368,26.24448,2.59221,4.21445,18.27031
369,26.28768,2.61914,4.21445,18.24438
370,26.37052,2.68,4.25763,18.29032
371,26.48008,2.74382,4.25814,18.29131
372,26.49198,2.74981,4.26052,18.36925
373,26.5768,2.79968,4.26451,18.37821
374,26.66617,2.84019,4.2739,18.38652
375,26.67524,2.84223,4.28193,18.39389
376,26.71513,2.86252,4.28396,18.41051
377,26.79408,2.89241,4.28798,18.41541
378,26.94177,2.96748,4.29407,18.4174
379,27.00205,3.03424,4.29407,18.43091
380,27.69339,3.50271,4.52911,18.53781
381,28.38684,4.03715,4.53198,20.33401
382,28.67982,4.30524,4.53672,18.54031
383,28.76889,4.38327,4.55541,18.54486
384,28.90961,4.48275,4.60773,18.54686
385,29.01125,4.55626,4.61507,18.55094
386,29.20904,4.65751,4.62345,18.55194
387,29.39388,4.73431,4.62805,18.5547
388,29.49144,4.80021,4.63107,18.55767
389,29.62486,4.89823,4.64436,18.56315
390,29.73545,4.97422,4.64766,18.56415
391,29.86528,5.06532,4.6572,18.5886
392,30.01825,5.15623,4.6664,18.59132
393,30.12276,5.21921,4.67201,18.59132
394,30.24168,5.30028,4.68806,18.59287
395,30.28982,5.34427,4.68909,18.6316
396,30.32008,1.95757,4.69403,18.6326
397,30.42157,2.10069,4.69978,18.63359
398,30.58454,2.21937,4.71084,18.63559
399,30.73953,2.33358,4.72128,18.63758
400,30.86486,2.44328,4.7248,18.6402
401,31.40176,2.82579,4.72699,18.64157
402,31.44437,2.85471,4.75281,18.64366
403,31.50475,2.89261,4.76315,18.69638
404,31.57241,2.92358,4.77977,18.69937
405,31.63764,2.96369,4.79026,17.63464
406,31.69459,3.02418,4.82001,18.98663
407,31.75657,3.05442,4.82101,18.98863
408,31.81592,3.09478,4.82201,18.98962
409,31.87189,3.13828,4.82389,18.14781
410,31.92646,3.17862,4.82754,18.99122
411,31.98702,3.22854,4.83502,19.03753
412,32.04649,3.26835,4.84104,19.03908
413,32.10645,3.29857,4.84413,19.04511
414,32.83196,3.71364,4.84513,19.0481
415,32.88885,3.74338,4.84996,19.0491
416,33.0538,3.90083,4.8535,19.06488
417,33.09969,3.94124,4.85502,19.05807
418,33.1194,3.96386,4.85785,19.06789
419,33.14209,3.99585,4.8605,19.07471
420,33.17172,4.03897,4.8625,19.10965
421,33.1983,4.08102,4.87536,19.11442
422,33.42377,4.26213,4.89026,20.50663
423,33.478,4.30113,4.89325,19.11552
424,33.53293,4.33716,4.89933,19.1179
425,33.57907,4.36419,4.90471,19.12178
426,33.59165,4.37718,4.9077,19.11865
427,33.6936,4.47619,4.92018,19.15143
428,33.71204,4.48719,4.9574,19.27813
429,33.76833,4.53317,4.96775,20.52758
430,33.85562,4.62217,4.97008,19.15262
431,33.96044,4.70258,4.97575,21.02072
432,33.98853,4.72253,4.97983,19.28161
433,34.00777,4.74846,4.98083,21.62572
434,34.03863,4.78735,4.98283,19.28312
435,34.0751,4.8083,4.99775,19.29482
436,34.10844,4.83622,5.00305,19.30223
437,34.13726,1.97613,5.23887,19.33162
438,34.15793,1.99708,5.24228,19.33517
439,34.20742,2.04694,5.25598,19.33517
440,34.24365,2.08036,5.25809,19.35487
441,34.28558,2.13422,5.26801,19.35587
442,34.32529,2.16214,5.27778,19.36282
443,35.12591,2.80048,5.29884,19.36482
444,35.15663,2.82941,5.31091,19.36681
445,35.19789,2.85034,5.3281,21.66717
446,35.23887,2.88326,5.3339,19.36974
447,35.26483,2.90477,5.34166,19.37472
448,35.30843,2.94488,5.67704,19.37866
449,35.35211,2.9807,5.68156,19.39898
450,35.38885,3.01092,5.68801,19.40047
451,35.42467,3.0503,5.69363,19.49208
452,35.45245,3.08154,5.69666,19.49208
453,35.48533,3.12202,5.69898,19.49371
454,35.52958,3.14521,5.70661,19.49568
455,35.56029,3.18501,5.70763,19.49568
456,35.58848,3.22539,5.71427,19.49769
457,35.64255,3.26012,5.72216,19.56572
458,35.67104,3.27525,5.7282,19.56572
459,35.70053,3.29543,5.7312,19.56671
460,35.71797,3.33401,5.73634,19.56671
461,35.7557,3.35516,5.74171,22.44616
462,35.7751,3.36523,5.74171,19.56771
463,35.81703,2.18487,5.75052,19.56787
464,36.12402,2.41376,5.75826,19.5688
465,36.18375,2.45764,5.76026,19.56973
466,36.23686,2.50053,5.76756,19.5747
467,36.2916,2.54991,6.02253,19.57657
468,36.38436,2.6277,6.02735,19.5776
469,36.4683,2.68655,6.0302,19.57855
470,36.53547,2.7414,6.03419,19.58067
471,36.63144,2.81023,6.0413,19.58154
472,36.8303,2.99198,6.04387,19.58353
473,36.91182,3.08267,6.04614,22.49859
474,36.99905,3.15901,6.05236,19.59052
475,37.07628,3.22404,6.05391,19.59151
476,37.22613,3.37751,6.05809,19.59228
477,37.29839,3.42591,6.06008,22.50159
478,37.36991,3.48653,6.18179,19.6016
479,37.4094,3.51925,6.18279,19.59761
480,37.43179,3.5395,6.19042,19.61075
481,37.49072,3.61388,6.19295,19.61552
482,37.53423,3.64369,6.19604,22.51854
483,37.58586,3.68903,6.20004,22.5196
484,37.61177,3.73126,6.21124,19.60951
485,37.71325,3.79992,6.21423,19.61919
486,37.81072,3.88381,6.21776,19.62301
487,37.82765,3.89083,6.22325,18.65062
488,37.90484,3.93115,6.22955,19.6307
489,37.96504,3.98214,6.23254,19.6321
490,37.97115,3.98715,6.23354,19.6321
491,37.98897,2.33323,6.36588,19.63354
492,38.01192,2.35816,6.37658,19.63482
493,38.07818,2.43495,6.37861,19.63881
494,38.141,2.4973,6.38175,19.63981
495,38.68353,2.9414,6.38564,19.64081
496,39.40831,3.47116,6.4147,19.64181
497,39.79772,3.72916,6.41996,19.64503
498,39.88866,3.80093,6.51871,19.6461
499,40.01322,3.89126,6.51998,19.65
500,40.11514,3.95255,6.5213,19.65499
501,40.23095,4.04473,6.5258,19.65599
502,40.35285,4.14978,6.52998,19.65707
503,40.42451,4.21782,6.53098,19.6671
504,40.55033,4.33386,6.53911,19.6691
505,40.65327,4.42688,6.54323,19.6701
506,40.72412,4.51888,6.54423,19.6701
507,40.81527,4.60888,6.54722,19.6765
508,40.86666,4.68029,6.56396,19.69397
509,40.93148,4.75708,6.57097,19.69995
510,40.95518,4.78501,6.57698,19.70095
511,40.97197,4.80296,6.58416,19.70195
512,41.05415,4.88487,6.58624,19.70195
513,41.1579,4.98488,6.59211,19.70594
514,41.26267,5.10085,6.60103,19.70684
515,41.44272,5.2029,6.60354,19.70684
516,41.58341,5.26388,6.60865,19.7148
517,41.74634,5.3819,6.61882,19.71779
518,41.82834,5.45987,6.61983,19.71979
519,41.94626,5.55194,6.62284,19.72478
520,42.03998,5.62889,6.62583,19.72577
521,42.11261,5.68689,6.63271,19.72577
522,42.18532,5.77328,6.63566,19.72976
523,42.23771,5.84608,6.64192,19.73076
524,42.31293,5.95597,6.64595,19.73176
525,42.39503,6.08594,6.65394,19.73674
526,42.44402,6.16496,6.65594,19.7517
527,42.50833,6.24593,6.65893,19.75669
528,42.53262,6.28635,6.66092,19.76168
529,42.54718,6.30604,6.83145,19.76268
530,42.62829,6.38617,6.8335,19.76666
531,42.73382,6.49424,6.83549,19.77065
532,42.86459,3.21079,6.83649,17.80918
533,42.95134,3.30152,6.83749,19.77464
534,43.26728,3.65027,6.8415,19.77564
535,43.31147,3.68573,6.84504,19.77664
536,43.36413,3.7261,6.85478,19.77919
537,43.39664,3.77656,6.85628,19.78019
538,43.42987,3.81003,6.85628,19.78318
539,43.47958,3.84727,6.8638,19.78418
540,43.53975,3.88767,6.86778,19.78518
541,43.60539,3.92351,6.86914,19.78839
542,43.65468,3.98155,6.87534,19.7894
543,43.69022,4.02567,6.88017,19.7894
544,43.7484,4.07477,6.91625,19.7927
545,43.8034,4.12776,6.94382,19.79438
546,43.86048,4.16875,6.95072,19.79555
